DATE=19991015, TIME=09:30:00, NPAN=751, NPMT=9522, NOWL=91, NLG=49, NBUT=22, NECK=4
H100 10  7 T10  0  130.503  -85.399  0  0  0  0
H116 14  5 T14  0   92.802  -54.000  0  0  0  0
EAIG PMCD JHHE KFCC QC23  0x07  504.680 -669.502  -80.357
EAIH PMIF JHHF KFCC QC24  0x07  480.783 -686.859  -80.342
EAII PMBQ JKQA KFCD QC25  0x07  516.989 -661.318  -54.797
EAIJ PMIM JKQB KFCD QC26  0x07  493.093 -678.675  -54.782
EAIK PMGJ JKQC KFCD QC27  0x07  469.206 -696.035  -54.802
EAIL PLQS JKQD KFCD QC28  0x07  529.313 -653.154  -29.231
EAIM PMBK JKQE KFCD QC29  0x07  505.416 -670.511  -29.217
EAIN PERE JKQF KFCD QC30  0x07  481.530 -687.872  -29.237
EAIO PGZT JKQG KFCD QC31  0x07  457.633 -705.229  -29.222
EAIP PEPZ JKQH KFCD QC32  0x07  541.618 -644.999   -3.651
EAIQ PGMY JKRG KFMA QD01  0x07  517.740 -662.347   -3.651
EAIR PGTL JKRH KFMA QD02  0x07  493.835 -679.717   -3.656
EAIS PLWO JKRI KFMA QD03  0x07  469.957 -697.065   -3.657
EAIT PLYF JKRJ KFMA QD04  0x07  446.061 -714.422   -3.642
H117 10  5 T10  0   86.880  -54.000  0  0  0  0
EAIU PHSN JHAL KFCB QC16  0x07  491.002 -675.799  102.095
EAIV PGNL JHGY KFCC QC17  0x07  479.969 -685.747   76.585
EAIW PHQX JHGZ KFCC QC18  0x07  503.866 -668.390   76.571
EAIX PHWQ JHHA KFCC QC19  0x07  468.941 -695.665   51.055
EAIY PHIO JHHB KFCC QC20  0x07  492.837 -678.308   51.040
EAIZ PIIE JHHC KFCC QC21  0x07  516.715 -660.960   51.040
EAJA PHSG JHHD KFCC QC22  0x07  457.918 -705.616   25.510
EAJB PIJV JHTZ KBBD PD28  0x07  481.805 -688.255   25.530
EAJC PHXP JHUA KBBD PD29  0x07  505.701 -670.898   25.516
EAJD PIAW JHUB KBBD PD30  0x07  529.579 -653.550   25.516
H118 10  4 T10  0   76.943  -59.471  0  0  0  0
EAJE PGYD JGQQ KEYA QA01  0x07  383.394 -731.396  162.130
